;Name;price;URL;type
0;10Th Ivrea 01;0.035;https://www.todoconsolas.com/manga/136727-manga_10th_ivrea_01_po177985-9788419010759.html;Manga
1;10Th Ivrea 02;0.04;https://www.todoconsolas.com/manga/148348-manga_10th_ivrea_02_po188164-9788419185518.html;Manga
2;3am Zona Peligrosa Tsubaki Comics;0.06;https://www.todoconsolas.com/manga/149910-manga_3am_zona_peligrosa_tsubaki_comics_po189773-9788410031821.html;Manga
3;3x3 Eyes Ivrea 01;0.09949999999999999;https://www.todoconsolas.com/manga/75527-manga_3x3_eyes_ivrea_01_po124565-9788417777906.html;Manga
4;51 Maneras De Proteger A Tu Novia Ponent Mon 01;0.05;https://www.todoconsolas.com/manga/156280-manga_51_maneras_de_proteger_a_tu_novia_ponent_mon_01_po195703-9781910856994.html;Manga
5;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
6;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
7;7000 Millones de Agujas Milky Way 01;0.045;https://www.todoconsolas.com/manga/11224-manga_7000_millones_de_agujas_milky_way_01_po88149-9788494580666.html;Manga
8;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
9;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
10;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
11;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
12;Accel World Planeta 01;0.04;https://www.todoconsolas.com/manga/154548-manga_accel_world_planeta_01_po194223-9788491733652.html;Manga
13;Accel World Planeta 02;0.05;https://www.todoconsolas.com/manga/154545-manga_accel_world_planeta_02_po194219-9788491735069.html;Manga
14;Accel World Planeta 03;0.045;https://www.todoconsolas.com/manga/154546-manga_accel_world_planeta_03_po194220-9788491735076.html;Manga
15;Accel World Planeta 04;0.05;https://www.todoconsolas.com/manga/154547-manga_accel_world_planeta_04_po194221-9788491735083.html;Manga
16;Accel World Planeta 05;0.05;https://www.todoconsolas.com/manga/154549-manga_accel_world_planeta_05_po194225-9788413410210.html;Manga
17;Accel World Planeta 06;0.05;https://www.todoconsolas.com/manga/154550-manga_accel_world_planeta_06_po194226-9788413410227.html;Manga
18;Accel World Planeta 07;0.05;https://www.todoconsolas.com/manga/154551-manga_accel_world_planeta_07_po194227-9788413410234.html;Manga
19;Accel World Planeta 08;0.05;https://www.todoconsolas.com/manga/154552-manga_accel_world_planeta_08_po194229-9788413417578.html;Manga
20;Act Age Ivrea 02;0.035;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
21;Act Age Ivrea 03;0.04;https://www.todoconsolas.com/manga/28148-manga_act_age_ivrea_03_po101767-9788418172502.html;Manga
22;Act Age Ivrea 04;0.045;https://www.todoconsolas.com/manga/28149-manga_act_age_ivrea_04_po101768-9788418271182.html;Manga
23;Act Age Ivrea 05;0.045;https://www.todoconsolas.com/manga/148329-manga_act_age_ivrea_05_po188161-9788418450020.html;Manga
24;10Th Ivrea 01;0.035;https://www.todoconsolas.com/manga/136727-manga_10th_ivrea_01_po177985-9788419010759.html;Manga
25;10Th Ivrea 02;0.04;https://www.todoconsolas.com/manga/148348-manga_10th_ivrea_02_po188164-9788419185518.html;Manga
