;Name;price;URL;type
0;10Th Ivrea 01;0.035;https://www.todoconsolas.com/manga/136727-manga_10th_ivrea_01_po177985-9788419010759.html;Manga
1;10Th Ivrea 02;0.04;https://www.todoconsolas.com/manga/148348-manga_10th_ivrea_02_po188164-9788419185518.html;Manga
2;20th Century Boys Planeta 02;0.045;https://www.todoconsolas.com/manga/43910-manga_20th_century_boys_planeta_02_po36376-8431474054251.html;Manga
3;20th Century Boys Planeta 03;0.045;https://www.todoconsolas.com/manga/43909-manga_20th_century_boys_planeta_03_po36377-8431474054268.html;Manga
4;20th Century Boys Planeta 05;0.045;https://www.todoconsolas.com/manga/5887-manga_20th_century_boys_planeta_05_po36379-8431474054282.html;Manga
5;20th Century Boys Planeta 11;0.045;https://www.todoconsolas.com/manga/43902-manga_20th_century_boys_planeta_11_po36385-8431474054343.html;Manga
6;20th Century Boys Planeta 19;0.045;https://www.todoconsolas.com/manga/42331-manga_20th_century_boys_planeta_19_po16463-8431474071180.html;Manga
7;3am Zona Peligrosa Tsubaki Comics;0.06;https://www.todoconsolas.com/manga/149910-manga_3am_zona_peligrosa_tsubaki_comics_po189773-9788410031821.html;Manga
8;3x3 Eyes Ivrea 01;0.09949999999999999;https://www.todoconsolas.com/manga/75527-manga_3x3_eyes_ivrea_01_po124565-9788417777906.html;Manga
9;5 Centimetros por Segundo Planeta;0.09949999999999999;https://www.todoconsolas.com/manga/42983-manga_5_centimetros_por_segundo_planeta_po57356-9788416476459.html;Manga
10;5 Segundos Antes de que la Bruja se Enamore;0.055;https://www.todoconsolas.com/manga/143511-manga_5_segundos_antes_de_que_la_bruja_se_enamore_po184078-9788419412799.html;Manga
11;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
12;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
13;7000 Millones de Agujas Milky Way 01;0.045;https://www.todoconsolas.com/manga/11224-manga_7000_millones_de_agujas_milky_way_01_po88149-9788494580666.html;Manga
14;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
15;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
16;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
17;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
18;Act Age Ivrea 02;0.035;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
19;Act Age Ivrea 03;0.04;https://www.todoconsolas.com/manga/28148-manga_act_age_ivrea_03_po101767-9788418172502.html;Manga
20;Act Age Ivrea 04;0.045;https://www.todoconsolas.com/manga/28149-manga_act_age_ivrea_04_po101768-9788418271182.html;Manga
21;Act Age Ivrea 05;0.045;https://www.todoconsolas.com/manga/148329-manga_act_age_ivrea_05_po188161-9788418450020.html;Manga
22;Adolescente Pero No Inocente Ivrea 01;0.04;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
23;Agharta 02;0.035;https://www.todoconsolas.com/manga/2999-manga_agharta_02_po26686-9788498140224.html;Manga
24;10Th Ivrea 01;0.035;https://www.todoconsolas.com/manga/136727-manga_10th_ivrea_01_po177985-9788419010759.html;Manga
