;Name;price;URL;type
0;20th Century Boys Planeta 02;0.045;https://www.todoconsolas.com/manga/43910-manga_20th_century_boys_planeta_02_po36376-8431474054251.html;Manga
1;3x3 Eyes Ivrea 01;0.09949999999999999;https://www.todoconsolas.com/manga/75527-manga_3x3_eyes_ivrea_01_po124565-9788417777906.html;Manga
2;51 Maneras De Proteger A Tu Novia Ponent Mon 01;0.05;https://www.todoconsolas.com/manga/156280-manga_51_maneras_de_proteger_a_tu_novia_ponent_mon_01_po195703-9781910856994.html;Manga
3;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
4;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
5;7000 Millones de Agujas Milky Way 01;0.045;https://www.todoconsolas.com/manga/11224-manga_7000_millones_de_agujas_milky_way_01_po88149-9788494580666.html;Manga
6;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
7;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
8;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
9;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
10;Accel World Planeta 01;0.04;https://www.todoconsolas.com/manga/154548-manga_accel_world_planeta_01_po194223-9788491733652.html;Manga
11;Accel World Planeta 08;0.05;https://www.todoconsolas.com/manga/154552-manga_accel_world_planeta_08_po194229-9788413417578.html;Manga
12;Act Age Ivrea 02;0.035;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
13;Act Age Ivrea 03;0.04;https://www.todoconsolas.com/manga/28148-manga_act_age_ivrea_03_po101767-9788418172502.html;Manga
14;Act Age Ivrea 04;0.045;https://www.todoconsolas.com/manga/28149-manga_act_age_ivrea_04_po101768-9788418271182.html;Manga
15;Act Age Ivrea 05;0.045;https://www.todoconsolas.com/manga/148329-manga_act_age_ivrea_05_po188161-9788418450020.html;Manga
16;Adolescente Pero No Inocente Ivrea 01;0.04;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
17;Agente De Futbol Hidra 01;0.045;https://www.todoconsolas.com/manga/153815-manga_agente_de_futbol_hidra_01_po193340-9788419266071.html;Manga
18;Ajin Semihumano Norma 02;0.05;https://www.todoconsolas.com/manga/21155-manga_ajin_semihumano_norma_02_po54351-9788467921557.html;Manga
19;Ajin Semihumano Norma 03;0.055;https://www.todoconsolas.com/manga/21328-manga_ajin_semihumano_norma_03_po97680-9788467922400.html;Manga
20;Ajin Semihumano Norma 05;0.055;https://www.todoconsolas.com/manga/26772-manga_ajin_semihumano_norma_05_po54354-9788467924961.html;Manga
21;Akame Ga Kill Norma 01;0.035;https://www.todoconsolas.com/manga/6670-manga_akame_ga_kill_norma_01_po44393-9788467920628.html;Manga
22;Akame Ga Kill Norma 02;0.045;https://www.todoconsolas.com/manga/6671-manga_akame_ga_kill_norma_02_po44394-9788467920635.html;Manga
23;Akame Ga Kill Norma 04;0.05;https://www.todoconsolas.com/manga/10666-manga_akame_ga_kill_norma_04_po85728-9788467922127.html;Manga
24;20th Century Boys Planeta 02;0.045;https://www.todoconsolas.com/manga/43910-manga_20th_century_boys_planeta_02_po36376-8431474054251.html;Manga
25;3x3 Eyes Ivrea 01;0.09949999999999999;https://www.todoconsolas.com/manga/75527-manga_3x3_eyes_ivrea_01_po124565-9788417777906.html;Manga
26;51 Maneras De Proteger A Tu Novia Ponent Mon 01;0.05;https://www.todoconsolas.com/manga/156280-manga_51_maneras_de_proteger_a_tu_novia_ponent_mon_01_po195703-9781910856994.html;Manga
27;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
28;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
29;7000 Millones de Agujas Milky Way 01;0.045;https://www.todoconsolas.com/manga/11224-manga_7000_millones_de_agujas_milky_way_01_po88149-9788494580666.html;Manga
30;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
31;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
32;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
33;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
34;Accel World Planeta 01;0.04;https://www.todoconsolas.com/manga/154548-manga_accel_world_planeta_01_po194223-9788491733652.html;Manga
35;Accel World Planeta 08;0.05;https://www.todoconsolas.com/manga/154552-manga_accel_world_planeta_08_po194229-9788413417578.html;Manga
36;Act Age Ivrea 02;0.035;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
37;Act Age Ivrea 03;0.04;https://www.todoconsolas.com/manga/28148-manga_act_age_ivrea_03_po101767-9788418172502.html;Manga
