;Name;price;URL;type
0;Metal Gear Solid Norma 02;0.1195;https://www.todoconsolas.com/comics/73475-comic_metal_gear_solid_norma_02_po37214-9788498146905.html;Comic
1;666 Satan Glenat 01;0.04;https://www.todoconsolas.com/manga/3638-manga_666_satan_glenat_01_po17859-9788483579312.html;Manga
2;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
3;666 Satan Glenat 03;0.04;https://www.todoconsolas.com/manga/3639-manga_666_satan_glenat_03_po17861-9788483579336.html;Manga
4;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
5;666 Satan Glenat 06;0.045;https://www.todoconsolas.com/manga/6546-manga_666_satan_glenat_06_po43362-9788499470146.html;Manga
6;666 Satan Glenat 07;0.045;https://www.todoconsolas.com/manga/6547-manga_666_satan_glenat_07_po43363-9788499470153.html;Manga
7;666 Satan Glenat 12;0.045;https://www.todoconsolas.com/manga/6552-manga_666_satan_glenat_12_po43368-9788499470207.html;Manga
8;666 Satan Glenat 15;0.045;https://www.todoconsolas.com/manga/43582-manga_666_satan_glenat_15_po43371-9788499470238.html;Manga
9;A Traves Del Khamsin Norma 01;0.04;https://www.todoconsolas.com/manga/78417-manga_a_traves_del_khamsin_norma_01_po127303-9788467914023.html;Manga
10;A.I Revolution Mangaline 01;0.02;https://www.todoconsolas.com/manga/5943-manga_a_i_revolution_mangaline_01_po36923.html;Manga
11;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
12;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
13;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
14;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
15;Abara Panini 01;0.055;https://www.todoconsolas.com/manga/112767-manga_abara_panini_01_po156134-9788498851700.html;Manga
16;Act Age Ivrea 01;0.04;https://www.todoconsolas.com/manga/26862-manga_act_age_ivrea_01_po100663-9788418061363.html;Manga
17;Act Age Ivrea 02;0.04;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
18;Adolescente Pero No Inocente Ivrea 01;0.045;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
19;Agharta 02;0.035;https://www.todoconsolas.com/manga/2999-manga_agharta_02_po26686-9788498140224.html;Manga
20;Agharta 03;0.035;https://www.todoconsolas.com/manga/44883-manga_agharta_03_po26687-9788498141566.html;Manga
21;Air Gear Norma 02;0.035;https://www.todoconsolas.com/manga/2820-manga_air_gear_norma_02_po23351-9788498472684.html;Manga
22;Ajin Semihumano Norma 01;0.035;https://www.todoconsolas.com/manga/21154-manga_ajin_semihumano_norma_01_po54350-9788467920611.html;Manga
23;Akame Ga Kill Norma 01;0.05;https://www.todoconsolas.com/manga/6670-manga_akame_ga_kill_norma_01_po44393-9788467920628.html;Manga
24;Metal Gear Solid Norma 02;0.1195;https://www.todoconsolas.com/comics/73475-comic_metal_gear_solid_norma_02_po37214-9788498146905.html;Comic
25;666 Satan Glenat 01;0.04;https://www.todoconsolas.com/manga/3638-manga_666_satan_glenat_01_po17859-9788483579312.html;Manga
26;666 Satan Glenat 02;0.04;https://www.todoconsolas.com/manga/2800-manga_666_satan_glenat_02_po17860-9788483579329.html;Manga
27;666 Satan Glenat 03;0.04;https://www.todoconsolas.com/manga/3639-manga_666_satan_glenat_03_po17861-9788483579336.html;Manga
28;666 Satan Glenat 04;0.045;https://www.todoconsolas.com/manga/3640-manga_666_satan_glenat_04_po17862-9788483579954.html;Manga
29;666 Satan Glenat 06;0.045;https://www.todoconsolas.com/manga/6546-manga_666_satan_glenat_06_po43362-9788499470146.html;Manga
30;666 Satan Glenat 07;0.045;https://www.todoconsolas.com/manga/6547-manga_666_satan_glenat_07_po43363-9788499470153.html;Manga
31;666 Satan Glenat 12;0.045;https://www.todoconsolas.com/manga/6552-manga_666_satan_glenat_12_po43368-9788499470207.html;Manga
32;666 Satan Glenat 15;0.045;https://www.todoconsolas.com/manga/43582-manga_666_satan_glenat_15_po43371-9788499470238.html;Manga
33;A Traves Del Khamsin Norma 01;0.04;https://www.todoconsolas.com/manga/78417-manga_a_traves_del_khamsin_norma_01_po127303-9788467914023.html;Manga
34;A.I Revolution Mangaline 01;0.02;https://www.todoconsolas.com/manga/5943-manga_a_i_revolution_mangaline_01_po36923.html;Manga
35;A.I Revolution Mangaline 02;0.02;https://www.todoconsolas.com/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html;Manga
36;A.I Revolution Mangaline 04;0.02;https://www.todoconsolas.com/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html;Manga
37;A.I Revolution Mangaline 06;0.02;https://www.todoconsolas.com/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html;Manga
38;A.I Revolution Mangaline 08;0.025;https://www.todoconsolas.com/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html;Manga
39;Abara Panini 01;0.055;https://www.todoconsolas.com/manga/112767-manga_abara_panini_01_po156134-9788498851700.html;Manga
40;Act Age Ivrea 01;0.04;https://www.todoconsolas.com/manga/26862-manga_act_age_ivrea_01_po100663-9788418061363.html;Manga
41;Act Age Ivrea 02;0.04;https://www.todoconsolas.com/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html;Manga
42;Adolescente Pero No Inocente Ivrea 01;0.045;https://www.todoconsolas.com/manga/110296-manga_adolescente_pero_no_inocente_ivrea_01_po154094-9788416905485.html;Manga
43;Agharta 02;0.035;https://www.todoconsolas.com/manga/2999-manga_agharta_02_po26686-9788498140224.html;Manga
44;Agharta 03;0.035;https://www.todoconsolas.com/manga/44883-manga_agharta_03_po26687-9788498141566.html;Manga
45;Air Gear Norma 02;0.035;https://www.todoconsolas.com/manga/2820-manga_air_gear_norma_02_po23351-9788498472684.html;Manga
46;Ajin Semihumano Norma 01;0.035;https://www.todoconsolas.com/manga/21154-manga_ajin_semihumano_norma_01_po54350-9788467920611.html;Manga
47;Akame Ga Kill Norma 01;0.05;https://www.todoconsolas.com/manga/6670-manga_akame_ga_kill_norma_01_po44393-9788467920628.html;Manga
48;Akame Ga Kill Norma 02;0.05;https://www.todoconsolas.com/manga/6671-manga_akame_ga_kill_norma_02_po44394-9788467920635.html;Manga
49;Akame Ga Kill Norma 03;0.05;https://www.todoconsolas.com/manga/6672-manga_akame_ga_kill_norma_03_po44395-9788467921564.html;Manga
50;Akame Ga Kill Norma 04;0.05;https://www.todoconsolas.com/manga/10666-manga_akame_ga_kill_norma_04_po85728-9788467922127.html;Manga
51;Akame Ga Kill Norma 05;0.05;https://www.todoconsolas.com/manga/10665-manga_akame_ga_kill_norma_05_po85727-9788467922318.html;Manga
52;Akame Ga Kill Zero Norma 05;0.05;https://www.todoconsolas.com/manga/81753-manga_akame_ga_kill_zero_norma_05_po129627-9788467932744.html;Manga
53;Akuma to Love Song Ivrea 01;0.035;https://www.todoconsolas.com/manga/5077-manga_akuma_to_love_song_ivrea_01_po30375-9788415513490.html;Manga
54;Akuma to Love Song Ivrea 03;0.035;https://www.todoconsolas.com/manga/17915-manga_akuma_to_love_song_ivrea_03_po65216-9788415513995.html;Manga
55;Akuma to Love Song Ivrea 04;0.035;https://www.todoconsolas.com/manga/18629-manga_akuma_to_love_song_ivrea_04_po65217-9788415680239.html;Manga
