;Name;price;URL
45;Manga A.I Revolution Mangaline 02;200 €;https://www.todoconsolas.com/es/manga/5944-manga_a_i_revolution_mangaline_02_po36924.html
46;Manga A.I Revolution Mangaline 04;200 €;https://www.todoconsolas.com/es/manga/5945-manga_a_i_revolution_mangaline_04_po36926.html
47;Manga A.I Revolution Mangaline 06;200 €;https://www.todoconsolas.com/es/manga/5946-manga_a_i_revolution_mangaline_06_po36928.html
48;Manga A.I Revolution Mangaline 08;250 €;https://www.todoconsolas.com/es/manga/5947-manga_a_i_revolution_mangaline_08_po36930.html
49;Manga Act Age Ivrea 01;400 €;https://www.todoconsolas.com/es/manga/26862-manga_act_age_ivrea_01_po100663-9788418061363.html
50;Manga Act Age Ivrea 02;400 €;https://www.todoconsolas.com/es/manga/26863-manga_act_age_ivrea_02_po100664-9788418172021.html
51;Manga Adult Time Planeta 01;350 €;https://www.todoconsolas.com/es/manga/101557-manga_adult_time_planeta_01_po146521-9788467443080.html
52;Manga Adult Time Planeta 02;350 €;https://www.todoconsolas.com/es/manga/101529-manga_adult_time_planeta_02_po146522-9788467443097.html
53;Manga Adult Time Planeta 03;350 €;https://www.todoconsolas.com/es/manga/101571-manga_adult_time_planeta_03_po146519-9788467443103.html
54;Manga Agharta 02;350 €;https://www.todoconsolas.com/es/manga/2999-manga_agharta_02_po26686-9788498140224.html
55;Manga Agharta 03;350 €;https://www.todoconsolas.com/es/manga/44883-manga_agharta_03_po26687-9788498141566.html
56;Manga Air Gear Norma 01;350 €;https://www.todoconsolas.com/es/manga/25309-manga_air_gear_norma_01_po22451-9788498472677.html
57;Manga Air Gear Norma 02;350 €;https://www.todoconsolas.com/es/manga/2820-manga_air_gear_norma_02_po23351-9788498472684.html
58;Manga Ajin Semihumano Norma 01;350 €;https://www.todoconsolas.com/es/manga/21154-manga_ajin_semihumano_norma_01_po54350-9788467920611.html
59;Manga Ajin Semihumano Norma 02;500 €;https://www.todoconsolas.com/es/manga/21155-manga_ajin_semihumano_norma_02_po54351-9788467921557.html
60;Manga Akame Ga Kill Norma 01;500 €;https://www.todoconsolas.com/es/manga/6670-manga_akame_ga_kill_norma_01_po44393-9788467920628.html
61;Manga Akame Ga Kill Norma 02;500 €;https://www.todoconsolas.com/es/manga/6671-manga_akame_ga_kill_norma_02_po44394-9788467920635.html
62;Manga Akame Ga Kill Norma 05;500 €;https://www.todoconsolas.com/es/manga/10665-manga_akame_ga_kill_norma_05_po85727-9788467922318.html
