Name;price;URL;type
Ajin Semihumano Norma 04;5.5;https://www.todoconsolas.com/manga/21327-manga_ajin_semihumano_norma_04_po97681-9788467923872.html;Manga
Ajin Semihumano Norma 05;5.5;https://www.todoconsolas.com/manga/26772-manga_ajin_semihumano_norma_05_po54354-9788467924961.html;Manga
Ajin Semihumano Norma 06;5.5;https://www.todoconsolas.com/manga/26773-manga_ajin_semihumano_norma_06_po54355-9788467925494.html;Manga
Akame Ga Kill Norma 01;3.0;https://www.todoconsolas.com/manga/6670-manga_akame_ga_kill_norma_01_po44393-9788467920628.html;Manga
Akame Ga Kill Norma 02;4.0;https://www.todoconsolas.com/manga/6671-manga_akame_ga_kill_norma_02_po44394-9788467920635.html;Manga
Akame Ga Kill Norma 03;5.0;https://www.todoconsolas.com/manga/6672-manga_akame_ga_kill_norma_03_po44395-9788467921564.html;Manga
Akame Ga Kill Norma 04;5.0;https://www.todoconsolas.com/manga/10666-manga_akame_ga_kill_norma_04_po85728-9788467922127.html;Manga
Akame Ga Kill Norma 06;5.0;https://www.todoconsolas.com/manga/8499-manga_akame_ga_kill_norma_06_po62868-9788467922325.html;Manga
Akame Ga Kill Norma 15;5.5;https://www.todoconsolas.com/manga/10668-manga_akame_ga_kill_norma_15_po85733-9788467929317.html;Manga
Akebi's Sailor Uniform Ivrea 06;4.5;https://www.todoconsolas.com/manga/148344-manga_akebi_s_sailor_uniform_ivrea_06_po188158-9788410007635.html;Manga
Akebi's Sailor Uniform Ivrea 07;4.5;https://www.todoconsolas.com/manga/148345-manga_akebi_s_sailor_uniform_ivrea_07_po188159-9788410113701.html;Manga
Akebi's Sailor Uniform Ivrea 08;4.5;https://www.todoconsolas.com/manga/148346-manga_akebi_s_sailor_uniform_ivrea_08_po188160-9788410213593.html;Manga
Akira Edicion Original Norma 01;15.0;https://www.todoconsolas.com/manga/86323-manga_akira_edicion_original_norma_01_po133262-9788467932560.html;Manga
Akira Edicion Original Norma 02;15.0;https://www.todoconsolas.com/manga/86324-manga_akira_edicion_original_norma_02_po133263-9788467939903.html;Manga
Alice 19th 03;3.5;https://www.todoconsolas.com/manga/5258-manga_alice_19th_03_po31764-9788484495482.html;Manga
Alita Gunnm Last Order 04;4.0;https://www.todoconsolas.com/manga/44646-manga_alita_gunnm_last_order_04_po28232.html;Manga
Alita Gunnm Last Order 05;4.0;https://www.todoconsolas.com/manga/44645-manga_alita_gunnm_last_order_05_po28233.html;Manga
Alita Gunnm Last Order 06;4.0;https://www.todoconsolas.com/manga/4782-manga_alita_gunnm_last_order_06_po28234.html;Manga
Alita Gunnm Last Order 07;4.0;https://www.todoconsolas.com/manga/4783-manga_alita_gunnm_last_order_07_po28235.html;Manga
Alita Gunnm Last Order 08;4.0;https://www.todoconsolas.com/manga/4784-manga_alita_gunnm_last_order_08_po28236.html;Manga
All Night Long Muno Milky Way;5.5;https://www.todoconsolas.com/manga/98088-manga_all_night_long_muno_milky_way_po143552-9788418788086.html;Manga
Amame Ivrea 02;4.0;https://www.todoconsolas.com/manga/4794-manga_amame_ivrea_02_po28283-9788492725182.html;Manga
Amame Ivrea 03;4.5;https://www.todoconsolas.com/manga/28415-manga_amame_ivrea_03_po35220-9788492725199.html;Manga
Amame Ivrea 04;4.5;https://www.todoconsolas.com/manga/28416-manga_amame_ivrea_04_po35221-9788492905928.html;Manga
Amame Ivrea 05;4.5;https://www.todoconsolas.com/manga/28417-manga_amame_ivrea_05_po35222-9788492905959.html;Manga
Amar y Ser Amado, Dejar y Ser Dejado Ivrea 12;4.5;https://www.todoconsolas.com/manga/148380-manga_amar_y_ser_amado__dejar_y_ser_dejado_ivrea_12_po188214-9788418172908.html;Manga
Angel Sanctuary Mangaline 02;1.0;https://www.todoconsolas.com/manga/6132-manga_angel_sanctuary_mangaline_02_po38832-1978495941049.html;Manga
Angel Sanctuary Mangaline 03;2.5;https://www.todoconsolas.com/manga/6133-manga_angel_sanctuary_mangaline_03_po38833-1978495941148.html;Manga
Angel Sanctuary Mangaline 04;2.5;https://www.todoconsolas.com/manga/6134-manga_angel_sanctuary_mangaline_04_po38834-9784959412367.html;Manga
Angel Sanctuary Mangaline 05;2.5;https://www.todoconsolas.com/manga/6135-manga_angel_sanctuary_mangaline_05_po38835-9784959413258.html;Manga
Angel Sanctuary Mangaline 06;3.0;https://www.todoconsolas.com/manga/6136-manga_angel_sanctuary_mangaline_06_po38836-9784959413685.html;Manga
Angel Sanctuary Mangaline 07;4.0;https://www.todoconsolas.com/manga/6137-manga_angel_sanctuary_mangaline_07_po38837-9784959418727.html;Manga
Animal Crossing Norma 01;4.0;https://www.todoconsolas.com/manga/27048-manga_animal_crossing_norma_01_po99985-9788467931150.html;Manga
Anime Mind Kalathras;5.5;https://www.todoconsolas.com/manga/42675-manga_anime_mind_kalathras_po65527-9788427043633.html;Manga
Aoha Ride Ivrea 02;4.5;https://www.todoconsolas.com/manga/42685-manga_aoha_ride_ivrea_02_po65219-9788416352791.html;Manga
Aoha Ride Ivrea 03;4.5;https://www.todoconsolas.com/manga/42684-manga_aoha_ride_ivrea_03_po65220-9788416352982.html;Manga
Aoharu X Machinegun ECC 02;4.0;https://www.todoconsolas.com/manga/136006-manga_aoharu_x_machinegun_ecc_02_po177461-9788417549169.html;Manga
Aoharu X Machinegun ECC 03;4.0;https://www.todoconsolas.com/manga/136008-manga_aoharu_x_machinegun_ecc_03_po177460-9788417644468.html;Manga
Aoharu X Machinegun ECC 04;4.0;https://www.todoconsolas.com/manga/136010-manga_aoharu_x_machinegun_ecc_04_po177459-9788417665647.html;Manga
Aposimz Tierra de Glenes Panini 01;5.5;https://www.todoconsolas.com/manga/113727-manga_aposimz_tierra_de_glenes_panini_01_po156783-9788411019774.html;Manga
Area D Norma 01;4.5;https://www.todoconsolas.com/manga/6866-manga_area_d_norma_01_po46036-9788467918915.html;Manga
Area D Norma 02;4.5;https://www.todoconsolas.com/manga/7416-manga_area_d_norma_02_po51578-9788467919660.html;Manga
Area D Norma 05;5.0;https://www.todoconsolas.com/manga/41757-manga_area_d_norma_05_po51581-9788467921595.html;Manga
Area D Norma 10;5.0;https://www.todoconsolas.com/manga/42205-manga_area_d_norma_10_po109030-9788467924329.html;Manga
